Dims,NDCG,MAP,TOP1 Precision,TOP1 Recall,TOP1 F1,TOP3 Precision,TOP3 Recall,TOP3 F1,TOP5 Precision,TOP5 Recall,TOP5 F1
RImg0,0.3897326201780919,0.2042063492063492,0.0,0.0,,0.022222222222222223,0.0625,0.03278688524590164,0.12,0.5625,0.19780219780219782
RImg1,0.3826001864370526,0.19468253968253968,0.0,0.0,,0.044444444444444446,0.125,0.06557377049180328,0.10666666666666667,0.5,0.17582417582417584
RImg2,0.41623380358724643,0.23894179894179896,0.06666666666666667,0.0625,0.06451612903225808,0.044444444444444446,0.125,0.06557377049180328,0.10666666666666667,0.5,0.17582417582417584
RImg3,0.41081381876665496,0.23375661375661375,0.06666666666666667,0.0625,0.06451612903225808,0.022222222222222223,0.0625,0.03278688524590164,0.09333333333333334,0.4375,0.15384615384615383
RImg4,0.39675764860566715,0.2124603174603175,0.0,0.0,,0.044444444444444446,0.125,0.06557377049180328,0.10666666666666667,0.5,0.17582417582417584
RImg5,0.3827249541052993,0.19642857142857145,0.0,0.0,,0.022222222222222223,0.0625,0.03278688524590164,0.09333333333333334,0.4375,0.15384615384615383
RImg6,0.394179127152328,0.20912698412698413,0.0,0.0,,0.022222222222222223,0.0625,0.03278688524590164,0.12,0.5625,0.19780219780219782
RImg7,0.3923146377438862,0.20642857142857143,0.0,0.0,,0.044444444444444446,0.125,0.06557377049180328,0.10666666666666667,0.5,0.17582417582417584
RImg8,0.3873576484046937,0.20283068783068783,0.0,0.0,,0.044444444444444446,0.125,0.06557377049180328,0.09333333333333334,0.4375,0.15384615384615383
RImg9,0.38513778852521263,0.1979365079365079,0.0,0.0,,0.022222222222222223,0.0625,0.03278688524590164,0.10666666666666667,0.5,0.17582417582417584
