,0,1,2,3,4,5,6,7,8,9
0_Youtuber Names,Dogumentary TV,Staceyspetmice,The Dro,Rob The Ranger Wildlife Videos,MercolaHealthyPets,Animalist,michael jamison,1800PetMeds,Wildlife Aid,Piggie palace
0_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_RS,-0.029127780685929,0.05680573094959089,-0.01285774359027975,0.02363700734749925,0.3917646130632404,0.02585610872955709,-0.0028321162940436982,0.0790418473004487,-0.03201563590031886,-0.10400530072728206
1_Youtuber Names,iPanda,1800PetMeds,Staceyspetmice,My BB Bunny,michael jamison,Nationwide Pet,Animalist,JustJesse197,Zoe Tuinman,Piggie palace
1_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_RS,0.14249386580618897,0.036971398940677226,0.0038260533908366645,0.09138886978648218,0.6195566878829916,-0.08581817532548644,0.06618223034933522,-0.020146141309897815,-0.03786287222003033,-0.10267273304460003
2_Youtuber Names,CatPusic,Zoe Tuinman,1800PetMeds,Robin Seplut,Piggie palace,Howl Of A Dog,MercolaHealthyPets,Rob The Ranger Wildlife Videos,Wildlife Aid,My BB Bunny
2_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_RS,0.04897923158599227,-0.006716310419579248,-0.033420399265557954,-0.05198469041899337,-0.148545296226664,-0.020363831913140396,0.0742942454286132,-0.02439323367589928,-0.017740292792494054,-0.020617553340628265
3_Youtuber Names,Wildlife Aid,MercolaHealthyPets,Robin Seplut,Staceyspetmice,Zoe Tuinman,iPanda,Dogumentary TV,Nationwide Pet,Rob The Ranger Wildlife Videos,The Dro
3_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_RS,0.08615401581449247,0.04566274949653308,-0.06089225597443167,0.19463860091947852,0.20579617332741515,-0.025712063394011064,0.11977510722192602,-0.07231546190093553,0.16294828099654443,-0.052719361648236346
4_Youtuber Names,Staceyspetmice,My BB Bunny,1800PetMeds,Rob The Ranger Wildlife Videos,Dogumentary TV,CatPusic,Nationwide Pet,Petpiggies Micro Pigs,Howl Of A Dog,Animalist
4_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_RS,0.011926097486347619,-0.04615692914488807,0.07106167490185342,-0.09529452135356158,-0.12217549718035321,0.018785426310888982,0.01612429379035304,-0.05224495473214399,0.01726965077222782,-0.016556433794520146
5_Youtuber Names,michael jamison,Wildlife Aid,Staceyspetmice,MercolaHealthyPets,Howl Of A Dog,The Dro,Petpiggies Micro Pigs,My BB Bunny,Nationwide Pet,The Pet Care Collab
5_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_RS,0.018957647218739035,-0.027769562813200255,0.09097182574077109,0.09376294406412208,-0.2431116762096655,-0.12951071638525893,0.04970719160161721,0.001121772114923078,-0.08463547950923543,-0.0976338498914588
6_Youtuber Names,Staceyspetmice,The Dro,MercolaHealthyPets,Piggie palace,JustJesse197,Nationwide Pet,CatPusic,iPanda,michael jamison,Petpiggies Micro Pigs
6_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_RS,-0.03501697714536302,-0.10636144235137199,-0.02554358603639348,-0.05942470328739946,-0.05246025121105311,-0.007836423294771605,0.02674976201801932,0.1261656769437719,0.1245614353631712,0.07119417065105349
7_Youtuber Names,Animalist,Dogumentary TV,Staceyspetmice,The Pet Care Collab,Howl Of A Dog,Rob The Ranger Wildlife Videos,Zoe Tuinman,My BB Bunny,MercolaHealthyPets,JustJesse197
7_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_RS,0.013651583812815709,-0.0481713272883077,-0.03898561579180118,0.21691159724104203,-0.08088103447082018,0.07749740807391706,0.05558230346562294,-0.07198941108484551,0.001972711008260103,-0.08937144125672626
8_Youtuber Names,Rob The Ranger Wildlife Videos,1800PetMeds,The Pet Care Collab,Animalist,iPanda,Piggie palace,Nationwide Pet,Robin Seplut,Staceyspetmice,MercolaHealthyPets
8_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8_RS,0.0834987159863474,-0.016375158849596252,0.110117438707369,-0.2733198089305912,-0.09871404127585429,-0.0194266566525536,0.115574958219296,0.2350233731125855,-0.032999703216697575,0.059662550771841946
9_Youtuber Names,My BB Bunny,iPanda,Wildlife Aid,MercolaHealthyPets,1800PetMeds,Robin Seplut,Dogumentary TV,michael jamison,Rob The Ranger Wildlife Videos,Staceyspetmice
9_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9_RS,0.06027157793448826,0.0015886328287667388,0.09698725629627317,0.0936383013816906,-0.04059640277447452,0.025180349584215708,-0.04226781466728365,-0.09573906608758181,-0.005020705290702827,0.2043681119664431
10_Youtuber Names,Wildlife Aid,The Pet Care Collab,Piggie palace,Zoe Tuinman,michael jamison,iPanda,Petpiggies Micro Pigs,My BB Bunny,Nationwide Pet,1800PetMeds
10_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_RS,0.019989595423569144,-0.0836709476162345,-0.02018967061721854,-0.1301184063528683,-0.02224393793027177,-0.04935040157062741,-0.04021211076694012,-0.01774308199554616,-0.06102611227354479,-0.06235943462563336
11_Youtuber Names,Dogumentary TV,CatPusic,Zoe Tuinman,My BB Bunny,Wildlife Aid,1800PetMeds,Nationwide Pet,michael jamison,Piggie palace,Petpiggies Micro Pigs
11_following_rel,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_RS,-0.12154998778144127,-0.15779011765942283,-0.0262826494825818,-0.012954869180617279,0.07186187514080986,-0.11363277841405861,-0.09849504136031398,-0.024105273458099985,0.04071149673789196,0.17466431373762636
12_Youtuber Names,michael jamison,Wildlife Aid,Staceyspetmice,The Pet Care Collab,Zoe Tuinman,iPanda,JustJesse197,The Dro,1800PetMeds,My BB Bunny
12_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12_RS,-0.0006182560084810329,0.02835825970839187,-0.14776030491948994,0.014239438727078117,0.03174285561004282,0.0006024513495617168,0.014462484499024597,-0.022679290909182977,-0.015847578050543522,-0.07008396485892329
13_Youtuber Names,MercolaHealthyPets,Wildlife Aid,Petpiggies Micro Pigs,Staceyspetmice,1800PetMeds,Rob The Ranger Wildlife Videos,Dogumentary TV,Zoe Tuinman,CatPusic,My BB Bunny
13_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13_RS,0.020182882229646183,-0.006153883024953705,0.05221884906946391,0.028788877905605345,-0.011344050115997817,-0.046100873360028514,0.0089742535232063,0.11010188994349614,0.078439569361241,0.008458583069929377
14_Youtuber Names,1800PetMeds,Dogumentary TV,Nationwide Pet,CatPusic,Staceyspetmice,Piggie palace,The Pet Care Collab,Robin Seplut,Animalist,My BB Bunny
14_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_RS,-0.002125617637172228,-0.11900756646081583,0.023658366150229274,0.012515126758852566,0.23826184012566032,0.009490164035767346,-0.08284138481338421,-0.18100712393725096,0.037273646367423086,-0.05065667373529333
