,0,1,2,3,4,5,6,7,8,9
16_YouTuber,The Dro,michael jamison,Animalist,Zoe Tuinman,Dogumentary TV,The Pet Care Collab,JustJesse197,Wildlife Aid,Howl Of A Dog,CatPusic
16_following,0,0,0,0,0,0,0,0,0,1
16RS,0.78056663,0.89701766,0.80935866,0.8684486,0.857591,0.75421935,0.7827163,0.8099549,0.7466116,0.8145436
23_YouTuber,Zoe Tuinman,Dogumentary TV,My BB Bunny,1800PetMeds,Rob The Ranger Wildlife Videos,Wildlife Aid,MercolaHealthyPets,Howl Of A Dog,CatPusic,michael jamison
23_following,0,0,0,0,0,0,0,0,0,1
23RS,0.8926197,0.8906164,0.65258694,0.8857644,0.79746044,0.86768436,0.92687523,0.7468711,0.8573539,0.8078498
24_YouTuber,iPanda,CatPusic,Howl Of A Dog,My BB Bunny,Robin Seplut,MercolaHealthyPets,The Pet Care Collab,Petpiggies Micro Pigs,1800PetMeds,Wildlife Aid
24_following,0,0,0,0,0,0,0,0,0,1
24RS,0.8483611,0.8753095,0.7413102,0.63692623,0.83069426,0.8675164,0.75065297,0.808484,0.8129461,0.76222616
35_YouTuber,JustJesse197,Zoe Tuinman,iPanda,The Pet Care Collab,Howl Of A Dog,The Dro,Dogumentary TV,michael jamison,Nationwide Pet,Staceyspetmice
35_following,0,0,0,0,0,0,0,0,0,1
35RS,0.74096036,0.8383844,0.87654346,0.7045452,0.7083116,0.73862016,0.841777,0.7970082,0.52018553,0.88437665
36_YouTuber,JustJesse197,MercolaHealthyPets,Robin Seplut,iPanda,1800PetMeds,Zoe Tuinman,Wildlife Aid,CatPusic,Petpiggies Micro Pigs,Dogumentary TV
36_following,0,0,0,0,0,0,0,0,0,1
36RS,0.79968005,0.88390416,0.8466477,0.90039384,0.8491113,0.909088,0.8200561,0.8480313,0.834944,0.8506026
39_YouTuber,CatPusic,Piggie palace,Petpiggies Micro Pigs,Staceyspetmice,The Pet Care Collab,The Dro,1800PetMeds,Robin Seplut,iPanda,Nationwide Pet
39_following,0,0,0,0,0,0,0,0,0,1
39RS,0.8145436,0.85697186,0.88953507,0.8587905,0.75421935,0.78056663,0.83132726,0.8229221,0.88499343,0.5349334
40_YouTuber,Nationwide Pet,Piggie palace,Zoe Tuinman,michael jamison,The Pet Care Collab,JustJesse197,Dogumentary TV,Staceyspetmice,Petpiggies Micro Pigs,CatPusic
40_following,0,0,0,0,0,0,0,0,0,1
40RS,0.43860364,0.8050082,0.8164408,0.77239203,0.6808507,0.7527828,0.82396847,0.8208016,0.7644504,0.78702897
45_YouTuber,Animalist,Petpiggies Micro Pigs,1800PetMeds,Robin Seplut,michael jamison,My BB Bunny,The Pet Care Collab,Wildlife Aid,JustJesse197,CatPusic
45_following,0,0,0,0,0,0,0,0,1,1
45RS,0.7546807,0.7829212,0.79761297,0.7777608,0.7481882,0.58260816,0.830705,0.7491242,0.7080838,0.807573
50_YouTuber,Piggie palace,Rob The Ranger Wildlife Videos,1800PetMeds,MercolaHealthyPets,The Pet Care Collab,Zoe Tuinman,CatPusic,Nationwide Pet,Dogumentary TV,Robin Seplut
50_following,0,0,0,0,0,0,0,0,0,1
50RS,0.85697186,0.8058648,0.83132726,0.90832156,0.75421935,0.8684486,0.8145436,0.5349334,0.857591,0.8229221
52_YouTuber,michael jamison,Staceyspetmice,Piggie palace,The Pet Care Collab,Wildlife Aid,My BB Bunny,Howl Of A Dog,Zoe Tuinman,Animalist,MercolaHealthyPets
52_following,0,0,0,0,0,0,0,0,0,1
52RS,0.7324572,0.78873867,0.7595352,0.67967325,0.7795555,0.5083418,0.69230044,0.7577599,0.66274786,0.82509047
53_YouTuber,Nationwide Pet,Animalist,Robin Seplut,CatPusic,Dogumentary TV,iPanda,My BB Bunny,Zoe Tuinman,The Pet Care Collab,MercolaHealthyPets
53_following,0,0,0,0,0,0,0,0,0,1
53RS,0.51032984,0.744636,0.83221304,0.8014287,0.8655729,0.8944124,0.60706854,0.86417985,0.7411127,0.9038479
58_YouTuber,Petpiggies Micro Pigs,My BB Bunny,Dogumentary TV,Nationwide Pet,Zoe Tuinman,JustJesse197,iPanda,The Pet Care Collab,CatPusic,Animalist
58_following,0,0,0,0,0,0,0,0,0,1
58RS,0.75422364,0.5438966,0.77190506,0.4659015,0.771005,0.67588603,0.79922324,0.7122824,0.75337154,0.69992495
61_YouTuber,My BB Bunny,The Dro,iPanda,Animalist,Wildlife Aid,Zoe Tuinman,michael jamison,JustJesse197,1800PetMeds,Robin Seplut
61_following,0,0,0,0,0,0,0,0,0,1
61RS,0.5937697,0.7042258,0.8499913,0.71043664,0.7501777,0.8151872,0.77282226,0.69350946,0.80518395,0.8243822
63_YouTuber,Rob The Ranger Wildlife Videos,Nationwide Pet,The Dro,Piggie palace,michael jamison,Dogumentary TV,Animalist,The Pet Care Collab,Zoe Tuinman,1800PetMeds
63_following,0,0,0,0,0,0,0,0,0,1
63RS,0.766266,0.51032984,0.74931,0.883469,0.8286901,0.8655729,0.744636,0.7411127,0.86417985,0.8310863
69_YouTuber,Nationwide Pet,JustJesse197,Howl Of A Dog,The Pet Care Collab,Zoe Tuinman,Rob The Ranger Wildlife Videos,Wildlife Aid,Animalist,CatPusic,Petpiggies Micro Pigs
69_following,0,0,0,0,0,0,0,0,0,1
69RS,0.5260615,0.7814024,0.6906229,0.68548584,0.8456278,0.7644306,0.8314211,0.74065214,0.79651177,0.79167163
