,0,1,2,3,4,5,6,7,8,9
0_Youtuber Names,Dogumentary TV,Staceyspetmice,The Dro,Rob The Ranger Wildlife Videos,MercolaHealthyPets,Animalist,michael jamison,1800PetMeds,Wildlife Aid,Piggie palace
0_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_RS,-0.4626476123604683,0.5749825101372299,-0.06730672934194223,-1.0672712382314566,0.8544069460814573,0.019892975800568806,-0.7045117193533438,0.1124315016423224,0.08659313187841386,-0.329374615809675
1_Youtuber Names,iPanda,1800PetMeds,Staceyspetmice,My BB Bunny,michael jamison,Nationwide Pet,Animalist,JustJesse197,Zoe Tuinman,Piggie palace
1_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_RS,-0.037268342179048425,0.0863248874495837,0.4875410948911145,-0.08287373553512159,-0.02263576807407841,-0.21464984195432807,0.08027185271371527,-0.34646287712307244,0.7000261376055944,-0.3008148899968839
2_Youtuber Names,CatPusic,Zoe Tuinman,1800PetMeds,Robin Seplut,Piggie palace,Howl Of A Dog,MercolaHealthyPets,Rob The Ranger Wildlife Videos,Wildlife Aid,My BB Bunny
2_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_RS,0.6264322783189559,1.1026225733493618,1.4536974205655444,0.5623424936615348,1.4719100591479,1.3000967584351624,1.2481145162468845,0.08207081110870751,0.3016533471656353,1.1180927380778845
3_Youtuber Names,Wildlife Aid,MercolaHealthyPets,Robin Seplut,Staceyspetmice,Zoe Tuinman,iPanda,Dogumentary TV,Nationwide Pet,Rob The Ranger Wildlife Videos,The Dro
3_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_RS,0.21026045761209103,0.4423062709573601,-0.30545631897685976,0.6916044668210003,0.914483380623595,-0.1255166050925918,-0.3233231603745362,-0.16909277358015654,-0.8754846564343697,-0.09473994037545294
4_Youtuber Names,Staceyspetmice,My BB Bunny,1800PetMeds,Rob The Ranger Wildlife Videos,Dogumentary TV,CatPusic,Nationwide Pet,Petpiggies Micro Pigs,Howl Of A Dog,Animalist
4_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_RS,0.5016727940718007,-0.22161556776718203,0.1498335281867984,-1.1363460647608628,-0.5506782508745786,0.4102991179008048,-0.10718683955419814,-0.3298039399429846,-0.7418937206453237,-0.000827474040017942
5_Youtuber Names,michael jamison,Wildlife Aid,Staceyspetmice,MercolaHealthyPets,Howl Of A Dog,The Dro,Petpiggies Micro Pigs,My BB Bunny,Nationwide Pet,The Pet Care Collab
5_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_RS,-0.04812108345409988,0.4144870923485682,0.41036131584994967,1.2894010773463258,0.2053574581712891,0.5665428629145646,-0.2602913926070128,0.098293412244467,0.48653498366665804,0.8795172831879842
6_Youtuber Names,Staceyspetmice,The Dro,MercolaHealthyPets,Piggie palace,JustJesse197,Nationwide Pet,CatPusic,iPanda,michael jamison,Petpiggies Micro Pigs
6_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_RS,-2.0544651890656365,-2.490217788620874,-3.0123856642571645,-4.613733863299153,-5.534969742938,-4.8447881989207575,-4.245761468255037,-3.923880303819534,-2.5095391043911177,-4.247134523304369
7_Youtuber Names,Animalist,Dogumentary TV,Staceyspetmice,The Pet Care Collab,Howl Of A Dog,Rob The Ranger Wildlife Videos,Zoe Tuinman,My BB Bunny,MercolaHealthyPets,JustJesse197
7_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_RS,0.013087649296217082,-0.44972313046954304,0.4158313752258321,0.3631025302476809,-0.8489014513358211,-0.9713417871478496,0.7643317392169016,-0.2768594180050652,0.46814763028220846,-0.44556735440865125
8_Youtuber Names,Rob The Ranger Wildlife Videos,1800PetMeds,The Pet Care Collab,Animalist,iPanda,Piggie palace,Nationwide Pet,Robin Seplut,Staceyspetmice,MercolaHealthyPets
8_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8_RS,0.4610036605132074,0.6703120279637994,-0.9841585683603601,-0.3646496304155118,0.030210516939692823,-2.272844490169497,1.4099076898417866,-2.328026584738227,-2.854486109901846,0.9344347577989953
9_Youtuber Names,My BB Bunny,iPanda,Wildlife Aid,MercolaHealthyPets,1800PetMeds,Robin Seplut,Dogumentary TV,michael jamison,Rob The Ranger Wildlife Videos,Staceyspetmice
9_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9_RS,-0.3276525137630267,1.670968577026099,0.8750598358787174,4.22057112666116,3.9014000076921973,0.5346002055068393,3.8965718855629032,2.204502701933023,0.783765850450858,-0.455100091540584
10_Youtuber Names,Wildlife Aid,The Pet Care Collab,Piggie palace,Zoe Tuinman,michael jamison,iPanda,Petpiggies Micro Pigs,My BB Bunny,Nationwide Pet,1800PetMeds
10_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_RS,2.3437016130278985,3.356999904465696,5.105321236181764,4.875367864434164,1.7146965444112416,3.7333880895601625,2.3722258787098265,3.883636976386811,3.847035599965017,3.7629559456172035
11_Youtuber Names,Dogumentary TV,CatPusic,Zoe Tuinman,My BB Bunny,Wildlife Aid,1800PetMeds,Nationwide Pet,michael jamison,Piggie palace,Petpiggies Micro Pigs
11_following_rel,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_RS,3.8245658503411497,3.914217547362705,2.37569807982806,1.6087137038778998,0.8119261917827026,4.005294826347405,4.671582092498291,1.2853484062195086,2.702905467185597,3.0288687283755036
12_Youtuber Names,michael jamison,Wildlife Aid,Staceyspetmice,The Pet Care Collab,Zoe Tuinman,iPanda,JustJesse197,The Dro,1800PetMeds,My BB Bunny
12_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12_RS,-1.0767684077983848,-0.4580769932460093,0.5968248796127646,-0.894375376044646,-1.1765690542828797,-2.3296089202097154,-3.2908340539380023,-1.5206177573410946,-2.065678502511324,0.22858783030254265
13_Youtuber Names,MercolaHealthyPets,Wildlife Aid,Petpiggies Micro Pigs,Staceyspetmice,1800PetMeds,Rob The Ranger Wildlife Videos,Dogumentary TV,Zoe Tuinman,CatPusic,My BB Bunny
13_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13_RS,0.441419503528362,0.1243178677142763,-0.25387808261088807,0.4499757364997218,0.04172972286044329,-1.0750409567569545,-0.4328026487764688,0.8117378465261568,0.4364143262642326,-0.20469634742078505
14_Youtuber Names,1800PetMeds,Dogumentary TV,Nationwide Pet,CatPusic,Staceyspetmice,Piggie palace,The Pet Care Collab,Robin Seplut,Animalist,My BB Bunny
14_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_RS,2.6027907322566053,4.31307009607882,3.5549751268626717,0.7766384218181035,-1.7370425305165944,-0.4486788893312787,-0.13937172483111332,-0.6885642503928254,0.5574395194347032,-1.093444993755679
