,0,1,2,3,4,5,6,7,8,9
0_Youtuber Names,CatPusic,The Dro,michael jamison,Animalist,Zoe Tuinman,Dogumentary TV,The Pet Care Collab,JustJesse197,Wildlife Aid,Howl Of A Dog
0_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_RS,1.3695876832185094,1.8553620901631351,1.4238720102483369,0.4660138194744966,0.4923820443948318,2.069392876818933,0.47264327053185473,2.2855475274346704,-0.05874101813346167,2.0050050619276467
1_Youtuber Names,michael jamison,Zoe Tuinman,Dogumentary TV,My BB Bunny,1800PetMeds,Rob The Ranger Wildlife Videos,Wildlife Aid,MercolaHealthyPets,Howl Of A Dog,CatPusic
1_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_RS,0.8626195367722836,2.2142077664910595,0.9702342248453133,0.5711019007759907,0.3510522382329886,-0.7423249384700257,-0.38019081782524944,1.4822169197090644,-1.1286764833816578,1.2472608982368534
2_Youtuber Names,Wildlife Aid,iPanda,CatPusic,Howl Of A Dog,My BB Bunny,Robin Seplut,MercolaHealthyPets,The Pet Care Collab,Petpiggies Micro Pigs,1800PetMeds
2_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_RS,0.26123045457217164,-1.5371956082882523,-0.05221112361803219,-4.836290984404044,1.199440440720832,-0.40184943010048446,-1.9377195258098259,0.15125996805551795,-1.41777631137493,-2.2889437042890264
3_Youtuber Names,Staceyspetmice,1800PetMeds,JustJesse197,Wildlife Aid,iPanda,Rob The Ranger Wildlife Videos,CatPusic,Howl Of A Dog,The Dro,Dogumentary TV
3_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_RS,0.03396642942029848,-0.5460451576099064,-0.752018993723433,-0.3966686093522167,-0.42535072977188687,-1.200138790457846,-0.5780949143353278,-1.2129774761685501,-0.02641791157269366,-0.21902033368797408
4_Youtuber Names,Dogumentary TV,JustJesse197,MercolaHealthyPets,Robin Seplut,iPanda,1800PetMeds,Zoe Tuinman,Wildlife Aid,CatPusic,Petpiggies Micro Pigs
4_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_RS,-1.6962681686924752,-4.0646989704930885,-3.2857396020050307,-2.2110162653003633,-2.7998924923111326,-2.8759448415984727,-3.4040711546988187,-0.7693758859417412,-4.764923440681383,-3.274483638704624
5_Youtuber Names,Nationwide Pet,CatPusic,Piggie palace,Petpiggies Micro Pigs,Staceyspetmice,The Pet Care Collab,The Dro,1800PetMeds,Robin Seplut,iPanda
5_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_RS,-1.7305652544507653,0.8324631280271687,2.4688665925447317,-0.3885052504742529,3.0615281511625794,0.614558353722154,-0.8901346663631949,-1.5280167994342242,0.17579923177401485,0.770611505483955
6_Youtuber Names,CatPusic,Nationwide Pet,Piggie palace,Zoe Tuinman,michael jamison,The Pet Care Collab,JustJesse197,Dogumentary TV,Staceyspetmice,Petpiggies Micro Pigs
6_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_RS,-3.9490781023371446,-4.078606655188155,-4.171466196681867,-0.8358853436538017,-3.0792302583997406,-1.779436616232792,-5.704770644613834,-4.364832611318796,-0.4283210577628969,-3.904435286172122
7_Youtuber Names,JustJesse197,CatPusic,Animalist,Petpiggies Micro Pigs,1800PetMeds,Robin Seplut,michael jamison,My BB Bunny,The Pet Care Collab,Wildlife Aid
7_following_rel,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_RS,-0.9459384659266497,-2.768023219363449,-0.9957468515256048,-0.8367054902662046,0.49199393550473997,-2.3238017998988094,1.1423877678928855,-4.600726875304345,-1.566732061115224,-2.465768519723592
8_Youtuber Names,Robin Seplut,Piggie palace,Rob The Ranger Wildlife Videos,1800PetMeds,MercolaHealthyPets,The Pet Care Collab,Zoe Tuinman,CatPusic,Nationwide Pet,Dogumentary TV
8_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8_RS,-0.12245676398286012,-3.0550889356393367,1.0867210156031941,1.0158447557001795,1.324538765986995,-0.6687145790615846,-0.4223293870594804,-1.2902855243122164,0.9581579304673756,1.7800707823150637
9_Youtuber Names,MercolaHealthyPets,Dogumentary TV,michael jamison,Staceyspetmice,Piggie palace,My BB Bunny,iPanda,The Pet Care Collab,Howl Of A Dog,Wildlife Aid
9_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9_RS,0.17595458661907004,-0.30774697735406664,-0.16901338933551763,0.10251831114916132,-1.015936512767425,-0.8184544839581507,-0.256548530636794,-0.3621352108228517,-1.3496413654729817,-0.23624503868248634
10_Youtuber Names,MercolaHealthyPets,Dogumentary TV,Piggie palace,Nationwide Pet,Animalist,JustJesse197,The Dro,Zoe Tuinman,iPanda,My BB Bunny
10_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_RS,0.1654047530838256,-0.24153668465124067,-1.0739358553472793,-0.39539844707576144,-0.16806973308661033,-0.985508211382347,-0.2948145443390811,0.38304108570336143,-0.561258052032108,-0.7323153449760661
11_Youtuber Names,Animalist,Piggie palace,iPanda,Petpiggies Micro Pigs,My BB Bunny,Staceyspetmice,Zoe Tuinman,The Dro,CatPusic,Wildlife Aid
11_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_RS,-0.13007904970019352,-1.1035366774461826,-0.28454100609192,-0.41875938593164796,-0.7098729634931618,0.06562052604171717,0.4817557204131961,-0.1832847832511,-0.49911254061876426,-0.22426822945552272
12_Youtuber Names,Robin Seplut,Nationwide Pet,My BB Bunny,iPanda,CatPusic,Zoe Tuinman,The Dro,Petpiggies Micro Pigs,Piggie palace,Howl Of A Dog
12_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12_RS,-0.4947998735211629,-0.5714073227680795,-0.7873295349135566,-0.33376694566433185,-0.3021768477250083,0.3891164778624193,-0.12398795393329531,-0.3784563143569531,-1.1968928563826546,-1.3138162379034417
13_Youtuber Names,Howl Of A Dog,MercolaHealthyPets,CatPusic,Dogumentary TV,Petpiggies Micro Pigs,Nationwide Pet,michael jamison,Animalist,iPanda,The Dro
13_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13_RS,1.7299593153985984,3.0668717733319286,-0.9290197848457762,2.737866986141919,0.18955475869603827,2.488980760992369,2.003301686373585,0.14113669988944125,-0.8911352459703615,0.19843976960075282
14_Youtuber Names,Petpiggies Micro Pigs,Piggie palace,michael jamison,Staceyspetmice,Robin Seplut,CatPusic,1800PetMeds,Nationwide Pet,The Dro,MercolaHealthyPets
14_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_RS,-0.6374561526501579,-1.1364708479342576,-0.1613217929586971,0.165884145405793,-0.5316512935789665,-0.3763744165659137,-0.16827460741487213,-0.2681539771596447,-0.30354750742657804,0.18500239253879583
