,0,1,2,3,4,5,6,7,8,9
0_Youtuber Names,CatPusic,The Dro,michael jamison,Animalist,Zoe Tuinman,Dogumentary TV,The Pet Care Collab,JustJesse197,Wildlife Aid,Howl Of A Dog
0_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_RS,-0.9144633421696166,0.3214796792340889,-0.27301101350827356,-0.34508862831595594,-1.1733129505101723,1.0594114916944246,-0.6904816422079894,0.6872693811157937,-0.8398115811658892,1.2513983122435088
1_Youtuber Names,michael jamison,Zoe Tuinman,Dogumentary TV,My BB Bunny,1800PetMeds,Rob The Ranger Wildlife Videos,Wildlife Aid,MercolaHealthyPets,Howl Of A Dog,CatPusic
1_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_RS,-0.016511288148038428,1.9195644825009186,1.0333927694190785,0.26984616426375013,0.24916688585612828,-0.1431663920569817,0.22426561616175456,1.2298867334871475,0.09742607025504603,0.7837459848616662
2_Youtuber Names,Wildlife Aid,iPanda,CatPusic,Howl Of A Dog,My BB Bunny,Robin Seplut,MercolaHealthyPets,The Pet Care Collab,Petpiggies Micro Pigs,1800PetMeds
2_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_RS,0.8557233286103363,-1.5119244972696226,0.0542718366748563,-5.1179370229688885,1.9443506215875754,-0.046334550966319915,-1.4854647586181817,0.9250541610325534,-1.0967702740711118,-2.0787293397523334
3_Youtuber Names,Staceyspetmice,1800PetMeds,JustJesse197,Wildlife Aid,iPanda,Rob The Ranger Wildlife Videos,CatPusic,Howl Of A Dog,The Dro,Dogumentary TV
3_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_RS,0.3053173957013445,-0.5645309256634227,-0.7535443694518595,0.05010693803396049,-0.2832735908474281,-0.9852447375314655,-0.31869848892079294,-1.151354747711409,0.06012871214836535,-0.452229588789006
4_Youtuber Names,Dogumentary TV,JustJesse197,MercolaHealthyPets,Robin Seplut,iPanda,1800PetMeds,Zoe Tuinman,Wildlife Aid,CatPusic,Petpiggies Micro Pigs
4_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_RS,-1.1839638224341333,-3.13329097918493,-3.1601444415378475,-2.3870163268214237,-2.2626067658347027,-2.9280485325191687,-3.2750477212894284,-0.8804953557434727,-4.7379807655951005,-2.7886311605632406
5_Youtuber Names,Nationwide Pet,CatPusic,Piggie palace,Petpiggies Micro Pigs,Staceyspetmice,The Pet Care Collab,The Dro,1800PetMeds,Robin Seplut,iPanda
5_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_RS,-1.5111198061015672,0.4551752664245742,2.781702984891916,-0.45965635521328574,3.25518432467292,0.8964453437385765,-1.407180439200841,-1.2999415623008135,0.25259898280071924,0.34928653176297725
6_Youtuber Names,CatPusic,Nationwide Pet,Piggie palace,Zoe Tuinman,michael jamison,The Pet Care Collab,JustJesse197,Dogumentary TV,Staceyspetmice,Petpiggies Micro Pigs
6_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_RS,-2.762547624437394,-4.442118250910215,-2.619271784411827,0.3023489627501553,-2.5033574680945354,-0.6981362055175473,-5.515144503959569,-4.509910883232575,0.8476354789550806,-3.140125194442992
7_Youtuber Names,JustJesse197,CatPusic,Animalist,Petpiggies Micro Pigs,1800PetMeds,Robin Seplut,michael jamison,My BB Bunny,The Pet Care Collab,Wildlife Aid
7_following_rel,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_RS,-0.581242795545785,-2.797264743000633,-0.924004591882449,-1.0179054744358613,-0.19026615633830485,-3.428866391824189,-0.26714812037144825,-4.451882886486469,-2.1926731897665417,-1.6358552652257474
8_Youtuber Names,Robin Seplut,Piggie palace,Rob The Ranger Wildlife Videos,1800PetMeds,MercolaHealthyPets,The Pet Care Collab,Zoe Tuinman,CatPusic,Nationwide Pet,Dogumentary TV
8_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8_RS,0.347940944140514,-2.0146594706338536,2.5679646856559115,0.16331647752839185,0.20426044476149408,-0.4066682008791515,-0.831423664331756,-0.6213127952917094,0.233240277600325,1.3431635056064535
9_Youtuber Names,MercolaHealthyPets,Dogumentary TV,michael jamison,Staceyspetmice,Piggie palace,My BB Bunny,iPanda,The Pet Care Collab,Howl Of A Dog,Wildlife Aid
9_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9_RS,0.1329731646881054,-0.5560441981192208,-0.5038976419630569,0.315980945797082,-0.7122976176789996,-0.412795320219167,-0.1706063971020858,-0.1743814923541436,-1.3024577349548276,0.13700650224230732
10_Youtuber Names,MercolaHealthyPets,Dogumentary TV,Piggie palace,Nationwide Pet,Animalist,JustJesse197,The Dro,Zoe Tuinman,iPanda,My BB Bunny
10_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_RS,0.17569242227362108,-0.48403920390240424,-0.73510113460995,-0.5454412584669567,-0.040664616925811234,-1.020140761832724,-0.22341168637194792,0.5811957574713028,-0.47110765470170846,-0.28793008649872087
11_Youtuber Names,Animalist,Piggie palace,iPanda,Petpiggies Micro Pigs,My BB Bunny,Staceyspetmice,Zoe Tuinman,The Dro,CatPusic,Wildlife Aid
11_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_RS,-0.022091352889365104,-0.7480632455020085,-0.20033581185663274,-0.35670309933409783,-0.25729829722312775,0.3300229068816741,0.6815621758519523,-0.13197034640464472,-0.27849907001850777,0.1792615732211612
12_Youtuber Names,Robin Seplut,Nationwide Pet,My BB Bunny,iPanda,CatPusic,Zoe Tuinman,The Dro,Petpiggies Micro Pigs,Piggie palace,Howl Of A Dog
12_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12_RS,-0.6090263942952142,-0.7381929501203509,-0.3450919892403412,-0.2454543512183001,-0.08804239083785964,0.597580021078784,-0.0771515191273314,-0.3016507986132251,-0.8597827721065637,-1.2476467653416534
13_Youtuber Names,Howl Of A Dog,MercolaHealthyPets,CatPusic,Dogumentary TV,Petpiggies Micro Pigs,Nationwide Pet,michael jamison,Animalist,iPanda,The Dro
13_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13_RS,2.6152241755346277,3.119328845705683,0.9604648693006941,2.696439199966208,1.0499974049569019,2.5228731899300345,0.7902005014379463,0.23153564312561203,-0.21594117894058956,1.167735476880606
14_Youtuber Names,Petpiggies Micro Pigs,Piggie palace,michael jamison,Staceyspetmice,Robin Seplut,CatPusic,1800PetMeds,Nationwide Pet,The Dro,MercolaHealthyPets
14_following_rel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_RS,-0.5936660133188626,-0.7663338763039885,-0.508985848731388,0.4664361974414798,-0.6402797060597787,-0.14980898063213147,-0.23042188043751857,-0.4793848740663398,-0.2513205709406649,0.14057806119912136
